16:42:00.138 [ApplicationImpl pooled thread 24] INFO  c.b.l.BrowserStackRunExtension - testng
16:42:00.140 [ApplicationImpl pooled thread 24] INFO  com.browserstack.utils.Helpers - null
16:42:00.141 [ApplicationImpl pooled thread 24] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
18:49:56.439 [ApplicationImpl pooled thread 79] INFO  c.b.l.BrowserStackRunExtension - testng
18:49:56.439 [ApplicationImpl pooled thread 79] INFO  com.browserstack.utils.Helpers - null
18:49:56.440 [ApplicationImpl pooled thread 79] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
18:50:24.211 [ApplicationImpl pooled thread 89] INFO  c.b.l.BrowserStackRunExtension - testng
18:50:24.212 [ApplicationImpl pooled thread 89] INFO  com.browserstack.utils.Helpers - null
18:50:24.212 [ApplicationImpl pooled thread 89] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
18:55:52.725 [ApplicationImpl pooled thread 89] INFO  c.b.l.BrowserStackRunExtension - testng
18:55:52.725 [ApplicationImpl pooled thread 89] INFO  com.browserstack.utils.Helpers - null
18:55:52.725 [ApplicationImpl pooled thread 89] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
19:01:25.583 [ApplicationImpl pooled thread 98] INFO  c.b.l.BrowserStackRunExtension - testng
19:01:25.583 [ApplicationImpl pooled thread 98] INFO  com.browserstack.utils.Helpers - null
19:01:25.584 [ApplicationImpl pooled thread 98] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:50:39.993 [ApplicationImpl pooled thread 90] INFO  c.b.l.BrowserStackRunExtension - application
17:50:39.996 [ApplicationImpl pooled thread 90] INFO  com.browserstack.utils.Helpers - null
17:51:25.180 [ApplicationImpl pooled thread 90] INFO  c.b.l.BrowserStackRunExtension - application
17:51:25.180 [ApplicationImpl pooled thread 90] INFO  com.browserstack.utils.Helpers - null
18:55:48.798 [ApplicationImpl pooled thread 117] INFO  c.b.l.BrowserStackRunExtension - application
18:55:48.798 [ApplicationImpl pooled thread 117] INFO  com.browserstack.utils.Helpers - null
20:08:41.052 [ApplicationImpl pooled thread 133] INFO  c.b.l.BrowserStackRunExtension - application
20:08:41.052 [ApplicationImpl pooled thread 133] INFO  com.browserstack.utils.Helpers - null
20:11:51.278 [ApplicationImpl pooled thread 138] INFO  c.b.l.BrowserStackRunExtension - application
20:11:51.278 [ApplicationImpl pooled thread 138] INFO  com.browserstack.utils.Helpers - null
15:31:40.293 [ApplicationImpl pooled thread 15] INFO  c.b.l.BrowserStackRunExtension - application
15:31:40.297 [ApplicationImpl pooled thread 15] INFO  com.browserstack.utils.Helpers - null
15:33:11.180 [ApplicationImpl pooled thread 15] INFO  c.b.l.BrowserStackRunExtension - application
15:33:11.180 [ApplicationImpl pooled thread 15] INFO  com.browserstack.utils.Helpers - null
15:34:00.856 [ApplicationImpl pooled thread 15] INFO  c.b.l.BrowserStackRunExtension - application
15:34:00.856 [ApplicationImpl pooled thread 15] INFO  com.browserstack.utils.Helpers - null
15:35:34.969 [ApplicationImpl pooled thread 15] INFO  c.b.l.BrowserStackRunExtension - application
15:35:34.969 [ApplicationImpl pooled thread 15] INFO  com.browserstack.utils.Helpers - null
15:36:21.380 [ApplicationImpl pooled thread 15] INFO  c.b.l.BrowserStackRunExtension - application
15:36:21.380 [ApplicationImpl pooled thread 15] INFO  com.browserstack.utils.Helpers - null
15:59:43.652 [ApplicationImpl pooled thread 23] INFO  c.b.l.BrowserStackRunExtension - application
15:59:43.652 [ApplicationImpl pooled thread 23] INFO  com.browserstack.utils.Helpers - null
16:15:55.900 [ApplicationImpl pooled thread 32] INFO  c.b.l.BrowserStackRunExtension - application
16:15:55.900 [ApplicationImpl pooled thread 32] INFO  com.browserstack.utils.Helpers - null
16:17:39.158 [ApplicationImpl pooled thread 35] INFO  c.b.l.BrowserStackRunExtension - application
16:17:39.158 [ApplicationImpl pooled thread 35] INFO  com.browserstack.utils.Helpers - null
16:19:34.682 [ApplicationImpl pooled thread 31] INFO  c.b.l.BrowserStackRunExtension - application
16:19:34.682 [ApplicationImpl pooled thread 31] INFO  com.browserstack.utils.Helpers - null
16:21:40.076 [ApplicationImpl pooled thread 41] INFO  c.b.l.BrowserStackRunExtension - application
16:21:40.076 [ApplicationImpl pooled thread 41] INFO  com.browserstack.utils.Helpers - null
16:23:59.157 [ApplicationImpl pooled thread 37] INFO  c.b.l.BrowserStackRunExtension - application
16:23:59.157 [ApplicationImpl pooled thread 37] INFO  com.browserstack.utils.Helpers - null
16:26:52.672 [ApplicationImpl pooled thread 47] INFO  c.b.l.BrowserStackRunExtension - application
16:26:52.673 [ApplicationImpl pooled thread 47] INFO  com.browserstack.utils.Helpers - null
16:27:43.626 [ApplicationImpl pooled thread 46] INFO  c.b.l.BrowserStackRunExtension - application
16:27:43.627 [ApplicationImpl pooled thread 46] INFO  com.browserstack.utils.Helpers - null
17:42:20.268 [ApplicationImpl pooled thread 53] INFO  c.b.l.BrowserStackRunExtension - application
17:42:20.269 [ApplicationImpl pooled thread 53] INFO  com.browserstack.utils.Helpers - null
17:45:41.988 [ApplicationImpl pooled thread 52] INFO  c.b.l.BrowserStackRunExtension - application
17:45:41.988 [ApplicationImpl pooled thread 52] INFO  com.browserstack.utils.Helpers - null
17:46:31.796 [ApplicationImpl pooled thread 62] INFO  c.b.l.BrowserStackRunExtension - application
17:46:31.796 [ApplicationImpl pooled thread 62] INFO  com.browserstack.utils.Helpers - null
17:48:51.165 [ApplicationImpl pooled thread 49] INFO  c.b.l.BrowserStackRunExtension - application
17:48:51.165 [ApplicationImpl pooled thread 49] INFO  com.browserstack.utils.Helpers - null
17:51:44.154 [ApplicationImpl pooled thread 67] INFO  c.b.l.BrowserStackRunExtension - application
17:51:44.154 [ApplicationImpl pooled thread 67] INFO  com.browserstack.utils.Helpers - null
19:56:18.923 [ApplicationImpl pooled thread 82] INFO  c.b.l.BrowserStackRunExtension - application
19:56:18.923 [ApplicationImpl pooled thread 82] INFO  com.browserstack.utils.Helpers - null
19:58:36.498 [ApplicationImpl pooled thread 83] INFO  c.b.l.BrowserStackRunExtension - application
19:58:36.498 [ApplicationImpl pooled thread 83] INFO  com.browserstack.utils.Helpers - null
19:59:54.314 [ApplicationImpl pooled thread 87] INFO  c.b.l.BrowserStackRunExtension - application
19:59:54.314 [ApplicationImpl pooled thread 87] INFO  com.browserstack.utils.Helpers - null
20:03:56.807 [ApplicationImpl pooled thread 93] INFO  c.b.l.BrowserStackRunExtension - application
20:03:56.808 [ApplicationImpl pooled thread 93] INFO  com.browserstack.utils.Helpers - null
20:05:26.782 [ApplicationImpl pooled thread 87] INFO  c.b.l.BrowserStackRunExtension - application
20:05:26.782 [ApplicationImpl pooled thread 87] INFO  com.browserstack.utils.Helpers - null
20:05:37.271 [ApplicationImpl pooled thread 87] INFO  c.b.l.BrowserStackRunExtension - application
20:05:37.271 [ApplicationImpl pooled thread 87] INFO  com.browserstack.utils.Helpers - null
20:06:55.273 [ApplicationImpl pooled thread 95] INFO  c.b.l.BrowserStackRunExtension - application
20:06:55.273 [ApplicationImpl pooled thread 95] INFO  com.browserstack.utils.Helpers - null
20:07:08.683 [ApplicationImpl pooled thread 86] INFO  c.b.l.BrowserStackRunExtension - application
20:07:08.683 [ApplicationImpl pooled thread 86] INFO  com.browserstack.utils.Helpers - null
20:07:59.936 [ApplicationImpl pooled thread 87] INFO  c.b.l.BrowserStackRunExtension - application
20:07:59.936 [ApplicationImpl pooled thread 87] INFO  com.browserstack.utils.Helpers - null
20:11:58.124 [ApplicationImpl pooled thread 93] INFO  c.b.l.BrowserStackRunExtension - application
20:11:58.124 [ApplicationImpl pooled thread 93] INFO  com.browserstack.utils.Helpers - null
20:12:36.531 [ApplicationImpl pooled thread 105] INFO  c.b.l.BrowserStackRunExtension - application
20:12:36.531 [ApplicationImpl pooled thread 105] INFO  com.browserstack.utils.Helpers - null
20:12:51.898 [ApplicationImpl pooled thread 87] INFO  c.b.l.BrowserStackRunExtension - application
20:12:51.898 [ApplicationImpl pooled thread 87] INFO  com.browserstack.utils.Helpers - null
20:15:45.080 [ApplicationImpl pooled thread 93] INFO  c.b.l.BrowserStackRunExtension - application
20:15:45.081 [ApplicationImpl pooled thread 93] INFO  com.browserstack.utils.Helpers - null
20:18:54.693 [ApplicationImpl pooled thread 106] INFO  c.b.l.BrowserStackRunExtension - application
20:18:54.693 [ApplicationImpl pooled thread 106] INFO  com.browserstack.utils.Helpers - null
